ID,학명,대표이름,이미지,다른이름,인기도,난이도,빛요구,물주기간격,물주기신호,갈증신호,휴면기,실내최저온도,실내최고온도,자연최저온도,자연최고온도,최소습도,최대습도,내한성구역최소,내한성구역최대,수명,서식지,심는시기,아기독성,고양이독성,강아지독성,햄스터독성
25775,Tillandsia ionantha,Air plant,https://d2fwaet2smbydf.cloudfront.net/species/ZVMWF0_1okgJf5tuXYj.jpg,,27,쉬움,햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,16,26,,,40,70,,,,North America,,false,false,false,false
25787,Philodendron Melanochrysum,Black gold philodendron,https://d2fwaet2smbydf.cloudfront.net/species/RifU2fxvjGdbOVYkAwy.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,24,,,70,,,,,Asia,,false,false,false,false
25793,Scindapsus pictus Argyraeus,Satin pothos,https://d2fwaet2smbydf.cloudfront.net/species/3Pt-TZjVPt2bH-tbgwN.jpg,,62,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,26,,,50,70,,,,South East Asia,,false,false,false,false
25839,Syngonium Podophyllum 'Milk Confetti',Arrowhead plant,https://d2fwaet2smbydf.cloudfront.net/species/xx1PncyXSrrvtLGWeeI.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,16,21,,,40,70,,,,America,,false,false,false,false
25847,Drimia Intricata,,https://d2fwaet2smbydf.cloudfront.net/species/hcd6rD1ox0xua9-XhCO.jpg,,,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,70,,,,South Africa,,false,false,false,false
25918,Syngonium podophyllum,Arrowhead plant,https://d2fwaet2smbydf.cloudfront.net/species/9WUZzJzTIn8EUCybUUr.jpg,,35,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Central America,,false,false,false,false
25942,Epipremnum aureum 'Manjula',Golden pothos,https://d2fwaet2smbydf.cloudfront.net/species/yGakjXy-jfeOAyoDPAO.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Australia,,false,false,false,false
25966,Philodendron burle marx Variegata,,https://d2fwaet2smbydf.cloudfront.net/species/v6vqf6aEjoE47eojRQi.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South America,,false,false,false,false
26012,Adenium obesum,Desert rose,https://d2fwaet2smbydf.cloudfront.net/species/gkNCwthlsU7GAGPkPhm.jpg,,94,보통,햇살이 드는 창문 앞|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,60,,,,South Africa,,false,false,false,false
26042,Philodendron paraiso verde,Philadelphus tenuifolius,https://d2fwaet2smbydf.cloudfront.net/species/IWOWYGeMbMrgmGZpl9D.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South America,,false,false,false,false
26045,Anthurium vittariifolium,,https://d2fwaet2smbydf.cloudfront.net/species/3Zf_v0eIMEDWaDE0Z2W.jpg,,,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,50,80,,,,North America,,false,false,false,false
26094,Philodendron hederaceum,Heartleaf philodendron,https://d2fwaet2smbydf.cloudfront.net/species/2ar2-gSaKwehRH9M-ar.jpg,Velvet leaf philodendron,84,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Central South America,,false,false,false,false
26115,Hedera helix ‘Yukihotaru’,English ivy,https://d2fwaet2smbydf.cloudfront.net/species/SkTjaCrbOPbAcLOgFPI.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Europe,,false,false,false,false
26158,Ficus benjamina Variegata,Weeping fig,https://d2fwaet2smbydf.cloudfront.net/species/kNZJD6YIEVXhSu5ySw_.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,India,,false,false,false,false
26226,Epipremnum pinnatum variegata,Centipede tongavine,https://d2fwaet2smbydf.cloudfront.net/species/WmlJVRvJCTYvnuRsjqA.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26294,Epipremnum pinnatum,Centipede tongavine,https://d2fwaet2smbydf.cloudfront.net/species/NxBJwW_pKThQ4ineMBS.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26310,Hoya Rotundiflora,,https://d2fwaet2smbydf.cloudfront.net/species/9SHC_qwo_iGqliZoGl3.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26427,Monstera adansonii 'Mint Variegata',Swiss cheese-plant,https://d2fwaet2smbydf.cloudfront.net/species/9d59E9z2MCMCpVRO2Po.jpg,,,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26458,Scindapsus Treubii,,https://d2fwaet2smbydf.cloudfront.net/species/3RHkZleLgtDT1Lr4WvB.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26483,Hoya heuschkeliana variegata,,https://d2fwaet2smbydf.cloudfront.net/species/_oZYWqMWk4GX4CuNn1L.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,70,,,,Australia,,false,false,false,false
26496,Syngonium podophyllum Red Spot,Arrowhead plant,https://d2fwaet2smbydf.cloudfront.net/species/8BiGSkTDqHzdebd4MjO.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,America,,false,false,false,false
26518,Philodendron Florida Beauty,Philodendrons,https://d2fwaet2smbydf.cloudfront.net/species/BZo1DKbk4QLUUE3dEIk.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26534,Scindapsus pictus 'Silver Hero',Golden pothos,https://d2fwaet2smbydf.cloudfront.net/species/nKLXEVv3BZvEWFSgePW.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
